iter	Passed	Remaining
0	12	123562553
1	24	121734009
2	36	123237035
3	49	124179803
4	60	120960005
5	71	118671559
6	81	116897957
7	92	115543739
8	103	115142724
9	113	113631466
10	123	112013775
11	133	110916911
12	142	109642946
13	152	108575404
14	161	107666015
15	171	107031860
16	181	106636762
17	191	106212687
18	201	105877623
19	210	105474835
20	220	105122213
21	230	104838357
22	240	104782027
23	251	104593069
24	260	104317208
25	270	104160356
26	281	104281823
27	291	104276978
28	301	104088403
29	311	103975219
30	321	103860668
31	331	103713177
32	341	103576458
33	351	103473603
34	362	103467914
35	372	103343379
36	382	103284018
37	392	103189689
38	402	103206403
39	412	103143850
40	422	103036531
41	432	102956307
42	442	102960455
43	452	102874956
44	462	102800007
45	472	102733296
46	483	102786549
47	493	102725151
48	503	102686594
49	513	102655413
50	523	102601590
51	533	102572469
52	543	102526686
53	554	102598917
54	564	102692734
55	575	102776441
56	586	102922369
57	596	102922961
58	608	103097292
59	618	103094360
60	628	103057644
61	639	103104027
62	650	103180624
63	660	103234294
64	671	103281429
65	681	103276483
66	692	103394753
67	703	103393381
68	713	103350473
69	723	103346363
70	733	103339295
71	743	103326958
72	754	103371229
73	765	103495805
74	779	103957934
75	792	104262551
76	804	104501317
77	816	104637156
78	828	104903778
79	841	105202469
80	853	105329222
81	865	105527321
82	877	105719440
83	889	105873125
84	901	106052613
85	913	106208369
86	925	106379191
87	938	106644113
88	950	106778181
89	962	106986609
90	976	107273109
91	989	107543480
92	1003	107877386
93	1014	107942180
94	1025	107971389
95	1037	108078801
96	1053	108579893
97	1064	108650265
98	1075	108588047
99	1085	108532913
100	1095	108455334
101	1105	108404160
102	1116	108382032
103	1126	108339010
104	1137	108302915
105	1147	108237597
106	1158	108244651
107	1169	108252955
108	1179	108252371
109	1190	108210612
110	1200	108194386
111	1212	108219016
112	1222	108228486
113	1233	108213381
114	1244	108197691
115	1254	108178744
116	1266	108208037
117	1276	108169809
118	1287	108200548
119	1298	108211526
120	1308	108176373
121	1318	108097939
122	1330	108168620
123	1342	108270162
124	1353	108273430
125	1364	108280144
126	1375	108317788
127	1386	108352041
128	1398	108371292
129	1409	108398800
130	1420	108415894
131	1431	108451528
132	1443	108517151
133	1453	108495147
134	1464	108457522
135	1474	108386602
136	1483	108315736
137	1493	108243160
138	1503	108181068
139	1513	108133748
140	1524	108147844
141	1535	108117809
142	1545	108076046
143	1555	108043367
144	1566	108027236
145	1576	107990997
146	1586	107933877
147	1596	107874397
148	1606	107841638
149	1617	107807743
150	1626	107742912
151	1637	107700149
152	1646	107641079
153	1657	107633090
154	1667	107598454
155	1678	107567465
156	1688	107523465
157	1698	107486119
158	1708	107445578
159	1719	107446644
160	1730	107453729
161	1740	107452464
162	1752	107491552
163	1762	107481639
164	1773	107483624
165	1784	107492086
166	1794	107474165
167	1805	107481661
168	1817	107530650
169	1828	107553042
170	1839	107552835
171	1849	107533961
172	1860	107531752
173	1879	108009228
174	1889	107953282
175	1900	107957824
176	1911	107973845
177	1921	107957388
178	1932	107981438
179	1943	107991550
180	1955	108043435
181	1966	108073915
182	1977	108069021
183	1988	108081210
184	1999	108061987
185	2009	108037283
186	2020	108023675
187	2030	107992030
188	2040	107967783
189	2050	107939896
190	2061	107910997
191	2071	107891026
192	2082	107878041
193	2092	107842759
194	2102	107804831
195	2113	107813950
196	2123	107780210
197	2133	107747245
198	2143	107703995
199	2153	107677319
200	2163	107635566
201	2174	107634560
202	2184	107616645
203	2194	107590539
204	2204	107551788
205	2215	107525299
206	2238	108129444
207	2251	108240055
208	2263	108292131
209	2276	108410915
210	2287	108425968
211	2298	108420074
212	2310	108458182
213	2321	108469266
214	2332	108470641
215	2342	108469871
216	2353	108457752
217	2364	108470888
218	2375	108469792
219	2387	108514432
220	2399	108560943
221	2410	108595881
222	2422	108619940
223	2434	108662635
224	2447	108764507
225	2461	108921168
226	2473	108956179
227	2485	109018458
228	2497	109039505
229	2507	109025444
230	2518	109004064
231	2529	109016943
232	2540	109035638
233	2551	109044195
234	2562	109060490
235	2574	109079757
236	2584	109059954
237	2595	109037060
238	2605	109031724
239	2616	109009122
240	2626	108997754
241	2637	109001046
242	2648	108974084
243	2658	108960859
244	2669	108950714
245	2680	108952070
246	2690	108941710
247	2701	108929552
248	2712	108929694
249	2723	108923797
250	2733	108898047
251	2744	108893756
252	2754	108859378
253	2780	109450509
254	2790	109413798
255	2800	109372293
256	2810	109361667
257	2821	109354508
258	2832	109352912
259	2842	109331847
260	2853	109325834
261	2864	109314243
262	2888	109834773
263	2901	109899589
264	2913	109937918
265	2925	109988827
266	2936	109993781
267	2948	110008950
268	2959	110022213
269	2971	110067657
270	2982	110062008
271	2993	110068499
272	3005	110091796
273	3017	110107936
274	3027	110087171
275	3037	110048305
276	3047	110017122
277	3057	109989622
278	3068	109968161
279	3078	109944910
280	3089	109932456
281	3099	109897242
282	3109	109857660
283	3119	109823291
284	3129	109787571
285	3138	109749896
286	3149	109727147
287	3159	109701381
288	3170	109692281
289	3180	109676722
290	3190	109648231
291	3200	109617899
292	3211	109596521
293	3221	109574136
294	3231	109537608
295	3241	109511702
296	3251	109476618
297	3261	109448078
298	3271	109421137
299	3281	109394795
300	3292	109370244
301	3302	109350249
302	3313	109349805
303	3324	109358545
304	3335	109347761
305	3345	109322904
306	3355	109305182
307	3366	109288725
308	3376	109278839
309	3387	109269400
310	3398	109264105
311	3408	109258997
312	3419	109240352
313	3430	109239716
314	3440	109232087
315	3451	109221638
316	3462	109218725
317	3473	109211274
318	3483	109200362
319	3494	109184160
320	3505	109188492
321	3516	109201980
322	3528	109223385
323	3539	109248080
324	3550	109250776
325	3561	109246588
326	3572	109253072
327	3584	109272967
328	3595	109290508
329	3606	109276729
330	3616	109268536
331	3627	109267146
332	3638	109258736
333	3648	109240296
334	3659	109236308
335	3670	109228888
336	3681	109225826
337	3692	109253148
338	3703	109257151
339	3714	109255054
340	3725	109246109
341	3735	109223143
342	3745	109199245
343	3755	109172982
344	3765	109151644
345	3776	109132929
346	3786	109112973
347	3797	109106217
348	3807	109103519
349	3818	109090222
350	3828	109076731
351	3839	109064910
352	3849	109048724
353	3859	109032027
354	3870	109014108
355	3880	109004022
356	3890	108984496
357	3901	108972780
358	3911	108955801
359	3921	108933076
360	3931	108912129
361	3941	108890218
362	3952	108870919
363	3962	108862337
364	3973	108866468
365	3984	108861777
366	3994	108850802
367	4005	108838362
368	4015	108821512
369	4026	108809519
370	4036	108788482
371	4047	108796798
372	4058	108810780
373	4071	108851357
374	4082	108851423
375	4092	108841387
376	4103	108832784
377	4113	108813321
378	4123	108791545
379	4133	108774542
380	4143	108756686
381	4153	108733714
382	4163	108711364
383	4174	108714443
384	4186	108723822
385	4196	108710393
386	4207	108707762
387	4217	108706955
388	4228	108690384
389	4238	108673131
390	4249	108666394
391	4259	108652450
392	4270	108653243
393	4281	108668547
394	4292	108654895
395	4302	108654197
396	4313	108659323
397	4325	108669814
398	4337	108696419
399	4347	108692151
400	4359	108702894
401	4369	108695238
402	4380	108693214
403	4391	108690852
404	4402	108693167
405	4412	108689253
406	4423	108681993
407	4434	108677714
408	4445	108680108
409	4455	108676138
410	4472	108820982
411	4482	108798736
412	4493	108786396
413	4503	108782203
414	4514	108777253
415	4525	108780980
416	4536	108785561
417	4547	108777895
418	4558	108792783
419	4569	108803923
420	4582	108841309
421	4593	108855163
422	4605	108868043
423	4616	108867376
